ก.,kX-1
กระทรวงการต่างประเทศ,kra-1 sRN1 kAn1 taN2 pra-1 TEt3
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,
กระทรวงคมนาคม,kra-1 sRN1 Ka-4 ma-4 nA-1 Kom1
กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,
กระทรวงพาณิชย์,kra-1 sRN1 PA-1 nit4
กระทรวงมหาดไทย,kra-1 sRN1 ma-4 hAt2 Taj1
กระทรวงยุติธรรม,kra-1 sRN1 jut4 ti?2 Tam1
กระทรวงวิทยาศาสตร์ เทคโนโลยี และสิ่งแวดล้อม,
กระทรวงวิทย์ฯ,
กระทรวงศึกษาธิการ,kra-1 sRN1 svk2 sA-5 Ti?4 kAn1
กระทรวงศึกษาฯ,
กระทรวงสาธารณสุข,kra-1 sRN1 sA-5 TA-1 ra-4 na-4 suk2
กระทรวงอุดมศึกษา,
กระทรวงอุตสาหกรรม,kra-1 sRN1 ?ut2 sA-5 ha?2 kam1
กระทรวงเกษตรฯ,kra-1 sRN1 ka-2 sEt2
กระทรวงเกษตรและสหกรณ์,kra-1 sRN1 ka-2 sEt2 ly?4 sa-1 ha-2 kXn1
กระทรวงแรงงานและสวัสดิการสังคม,kra-1 sRN1 rYN1 NAn1 ly?4 sa-1 wat2 di?2 kAn1 saN5 Kom1
กระทวย,
กระทอก,
กระทะ,kra-1 Ta?4
กระทะทอง,kra-1 Ta?4 TXN1
กระทะทองแดง,
กระทะใบบัว,
กระทัดรัด,kra-1 Tat4 rat4
กระทันหัน,kra-1 Tan1 han5
กระทั่ง,kra-1 TaN3
กระทั่งติด,
กระทั้น,
กระทา,kra-1 TA-1
กระทาชาย,kra-1 TA-1 CAj1
กระทาย,
กระทายเหิน,
กระทาสี,
กระทาหอง,
กระทำ,kra-1 Tam1
กระทำการ,kra-1 Tam1 kAn1
กระทำความผิด,kra-1 Tam1 KwAm1 Pit2
กระทำชำเรา,
กระทำผิดกฎหมาย,kra-1 Tam1 Pit2 kot2 mAj5
กระทำโดยประมาท,
กระทำโดยเจตนา,
กระทิกกระทวย,
กระทิง,kra-1 TiN1
กระทิงโทน,
กระทึง,
กระทืบ,kra-1 TVp3
กระทืบธรณี,
กระทืบยอบ,
กระทืบเท้า,
กระทุ,
กระทุง,kra-1 TuN1
กระทุงลาย,
กระทุงหมาบ้า,
กระทุงเหว,
กระทุน,
กระทุ่ม,kra-1 Tum3
กระทุ่มขี้หมู,
กระทุ่มนา,
กระทุ่มน้ำ,kra-1 Tum3 nAm4
กระทุ่มหมู,
กระทุ้ง,kra-1 TuN4
กระทุ้งเส้า,kra-1 TuN4 saw3
กระทู้,kra-1 TU-4
กระทู้ถาม,kra-1 TU-4 TAm5
กระท่อนกระแท่น,kra-1 TXn3 kra-1 TYn3
กระท่อม,kra-1 TXm3
กระท่อมขี้หมู,
กระท่อมเลือด,
กระท่าง,
กระท้อน,kra-1 TXn4
กระท้อมกระแท้ม,
กระนก,
กระนวน,
กระนั้น,kra-1 nan4
กระนี้,kra-1 nI-4
กระน่อง,
กระบก,kra-1 bok2
กระบกคาย,
กระบถ,
กระบม,
กระบวน,kra-1 bRn1
กระบวนกระบิด,
กระบวนการ,kra-1 bRn1 kAn1
กระบวนการผลิต,
กระบวนการยุติธรรม,kra-1 bRn1 kAn1 jut4 ti?2 Tam1
กระบวนการเรียนรู้,
กระบวนความ,
กระบวนจีน,
กระบวนทัศน์,kra-1 bRn1 Tat4
กระบวนท่า,kra-1 bRn1 TA-3
กระบวนฝรั่ง,
กระบวนเพลง,
กระบวนแห่,kra-1 bRn1 hY-2
กระบวย,kra-1 bRj1
กระบวร,
กระบอก,kra-1 bXk2
กระบอกฉีด,kra-1 bXk2 CIt2
กระบอกตา,kra-1 bXk2 tA-1
กระบอกปืน,kra-1 bXk2 pVn1
กระบอกสูบ,kra-1 bXk2 sUp2
กระบอกหัว,
กระบอกเพลา,
กระบอกเสียง,kra-1 bXk2 sJN5
กระบอกโทรศัพท์,
กระบอกไม้ไผ่,
กระบอง,kra-1 bXN1
กระบองกลึง,
กระบองกัน,
กระบองราหู,
กระบองเพชร,kra-1 bXN1 Pet4
กระบะ,kra-1 ba?2
กระบัง,kra-1 baN1
กระบัด,kra-1 bat2
กระบับ,kra-1 bap2
กระบั้วกระเบี้ย,
กระบา,kra-1 bA-1
กระบาก,kra-1 bAk2
กระบาย,kra-1 bAj1
กระบาล,kra-1 bAn1
กระบิ,
กระบิด,kra-1 bit2
กระบิดกระบวน,kra-1 bit2 kra-1 bRn1
กระบิล,kra-1 bin1
กระบิ้ง,kra-1 biN3
กระบี่,kra-1 bI-2
กระบี่กระบอง,kra-1 bI-2 kra-1 bXN1
กระบี่ธุช,
กระบี่ลีลา,
กระบือ,kra-1 bV-1
กระบือเจ็ดตัว,
กระบุง,kra-1 buN1
กระบุงโกย,kra-1 buN1 kOj1
กระบุ่มกระบ่าม,kra-1 bum2 kra-1 bAm2
กระบูน,
กระบูนเลือด,
กระบูร,
กระบู้กระบี้,
กระบ่า,kra-1 bA-2
กระบ้า,kra-1 bA-3
กระปมกระปำ,
กระปมกระเปา,
กระปรอก,
กระปรอกว่าว,
กระปรี้กระเปร่า,kra-1 prI-3 kra-1 praw2
กระปอก,
กระปอดกระแปด,kra-1 pXt2 kra-1 pYt2
กระปั้วกระเปี้ย,
กระปุก,kra-1 puk2
กระปุกหลุก,kra-1 puk2 luk2
กระปุกออมสิน,kra-1 puk2 ?Xm1 sin5
กระปุ่ม,
กระปุ่มกระปิ่ม,
กระปุ่มกระป่ำ,
กระปุ๊กลุก,kra-1 puk4 luk4
กระปูด,
กระป่อง,
กระป่ำ,
กระป้อกระแป้,kra-1 pX-3 kra-1 pY-3
กระป๋อง,kra-1 pxN5
กระป๋องน้ำ,kra-1 pxN5 nAm4
กระป๋อหลอ,
กระผม,kra-1 Pom5
กระผลีกระผลาม,
กระผาน,
กระผีก,kra-1 PIk2
กระผีกริ้น,kra-1 PIk2 rin4
กระพรวน,kra-1 PrRn1
กระพริบ,kra-1 Prip4
กระพริบตา,kra-1 Prip4 tA-1
กระพริ้ม,
กระพอก,
กระพอกวัว,
กระพอง,
กระพัก,
กระพัง,kra-1 PaN1
กระพังเหิร,
กระพังโหม,
กระพัด,
กระพัดแม่ม่าย,
กระพัตร,
กระพัน,kra-1 Pan1
กระพั่น,
กระพา,
กระพาก,
กระพี้,
กระพี้นางนวล,
กระพี้เขาควาย,
กระพือ,kra-1 PV-1
กระพือข่าว,kra-1 PV-1 KAw2
กระพือปีก,kra-1 PV-1 pIk2
กระพุ่ม,kra-1 Pum3
กระพุ่มมือ,
กระพุ้ง,kra-1 PuN4
กระพุ้งแก้ม,
กระพ้อม,
กระฟัดกระเฟียด,kra-1 fat4 kra-1 fJt3
กระฟูมกระฟาย,
กระมล,
กระมอบ,
กระมอมกระแมม,
กระมัง,kra-1 maN1
กระมัน,
กระมิดกระเมี้ยน,
กระมึน,
กระมุท,
กระยา,kra-1 jA-1
กระยาคชวาง,
กระยาง,kra-1 jAN1
กระยาจก,
กระยาดอกเบี้ย,
กระยาทาน,
กระยาทิพย์,
กระยาบวช,
กระยารงค์,
กระยาสนาน,
กระยาสังเวย,
กระยาสังแวง,
กระยาสารท,
กระยาหงัน,
กระยาหาร,kra-1 jA-1 hAn5
กระยาเบี้ย,
กระยาเลย,kra-1 jA-1 lZj1
กระยาเสวย,
กระยิก,
กระยิ้มกระย่อง,
กระยึกกระยัก,kra-1 jvk4 kra-1 jak4
กระยึกกระยือ,
กระยืดกระยาด,
กระย่อง,
กระย่องกระแย่ง,kra-1 jXN3 kra-1 jYN3
กระย่อน,
กระย่อม,
กระรอก,kra-1 rXk3
กระรอกน้ำข้าว,
กระลด,
กระลบ,
กระลอก,
กระลอม,
กระละหล่ำ,
กระลัด,
กระลับ,
กระลับกระลอก,
กระลับกระเลือก,
กระลัมพร,
กระลา,
กระลาการ,
กระลาพิม,
กระลายกระลอก,
กระลาศรี,
กระลำ,
กระลำพร,
กระลำพัก,
กระลำพุก,
กระลิง,
กระลี,
กระลึง,
กระลุมพาง,
กระลุมพุก,
กระลุมพู,
กระลูน,
กระลู่น์,
กระวน,
กระวนกระวาย,kra-1 won1 kra-1 wAj1
กระวนกระวายใจ,kra-1 won1 kra-1 wAj1 caj1
กระวัด,
กระวาด,kra-1 wAt3
กระวาน,kra-1 wAn1
กระวานเทศ,
กระวาย,
กระวายกระวน,
กระวิน,
กระวี,
กระวีกระวาด,kra-1 wI-1 kra-1 wAt3
กระวีชาติ,
กระวูดกระวาด,
กระว่า,
กระศก,
กระศัย,
กระษัตริย์,
กระษัตรี,
กระษัย,
กระษัยกล่อน,
กระษาปณ์,kra-1 sAp2
กระษิร,
กระสง,
กระสบ,
กระสม,
กระสรวล,
กระสร้อย,kra-1 sa-1 rXj4
กระสวน,kra-1 sRn5
กระสวย,kra-1 sRj5
กระสอบ,kra-1 sXp2
กระสอบทราย,kra-1 sXp2 sAj1
กระสะ,
กระสัง,kra-1 saN5
กระสัน,kra-1 san5
กระสับกระส่าย,kra-1 sap2 kra-1 sAj2
กระสา,kra-1 sA-5
กระสานติ์,
กระสาบ,
กระสาย,kra-1 sAj5
กระสินธุ,
กระสือ,kra-1 sV-5
กระสือดูด,
กระสุงกระสิง,kra-1 suN5 kra-1 siN5
กระสุน,kra-1 sun5
กระสุนปราย,
กระสุนปืน,kra-1 sun5 pVn1
กระสุนพระอินทร์,
กระสุนวิถี,
กระสุนหลอก,
กระสุนแตก,
กระสุนโดด,
กระสูทธิ์,
กระสูบ,kra-1 sUp2
กระหง่อง,
กระหน,
กระหนก,kra-1 nok2
กระหนกกินรี,
กระหนกนฤมิต,
กระหนกนารี,
กระหนาก,
กระหนาบ,kra-1 nAp2
กระหนาบคาบเกี่ยว,kra-1 nAp2 KAp3 kJw2
กระหนุงกระหนิง,kra-1 nuN5 kra-1 niN5
กระหน่อง,
กระหน่ำ,kra-1 nam2
กระหมวด,kra-1 mRt2
กระหมอบ,
กระหมั่ง,
กระหมิบ,kra-1 mip2
กระหมุดกระหมิด,
กระหมุบ,kra-1 mup2
กระหมุบกระหมิบ,kra-1 mup2 kra-1 mip2
กระหมุ่น,
กระหม่อม,kra-1 mXm2
กระหม่อมบาง,
กระหม่า,
กระหยด,
กระหยบ,
กระหยะ,
กระหยัง,
กระหยับ,
กระหยาง,
กระหยิ่ม,kra-1 jim2
กระหย่ง,kra-1 joN2
กระหย่อน,
กระหย่อม,
กระหรอด,
กระหริ่ง,
กระหวน,
กระหวัด,kra-1 wat2
กระหวัดเกล้า,
กระหว่า,
กระหอง,
กระหัง,kra-1 haN5
กระหัด,
กระหาง,kra-1 hAN5
กระหาย,kra-1 hAj5
กระหายน้ำ,kra-1 hAj5 nAm4
กระหายเลือด,kra-1 hAj5 lWt3
กระหึม,kra-1 hvm5
กระหึ่ม,kra-1 hvm2
กระหืดกระหอบ,kra-1 hVt2 kra-1 hXp2
กระอวล,
กระออดกระแอด,
กระออบ,
กระออม,
กระอัก,kra-1 ?ak2
กระอักกระอ่วน,kra-1 ?ak2 kra-1 ?Rn2
กระอักกระไอ,
กระอั้วแทงควาย,
กระอาน,
กระอิด,
กระอิดกระเอื้อน,
กระอึก,
กระอึกกระอัก,kra-1 ?vk2 kra-1 ?ak2
กระอึด,
กระอืด,
กระอุ,
กระอุก,
กระอูบ,
กระอ้อกระแอ้,
กระอ้อมกระแอ้ม,kra-1 ?xm3 kra-1 ?ym3
กระอ้า,
กระเกรอก,
กระเกริก,
กระเกริ่น,
กระเกรียม,
กระเกรียว,
กระเกรี้ยว,
กระเกลือก,
กระเง้ากระงอด,
กระเจอะกระเจิง,kra-1 cz?2 kra-1 cZN1
กระเจา,kra-1 caw1
กระเจาะ,
กระเจิง,kra-1 cZN1
กระเจิดกระเจิง,kra-1 cZt2 kra-1 cZN1
กระเจียว,
กระเจี้ยง,
กระเจี๊ยบ,kra-1 cJp4
กระเจี๊ยบเปรี้ยว,
กระเจี๊ยว,kra-1 cJw4
กระเจ่า,
กระเจ้า,
กระเฉก,
กระเฉด,kra-1 CEt2
กระเชอ,kra-1 CZ-1
กระเชอก้นรั่ว,kra-1 CZ-1 kon3 rR-3
กระเชา,
กระเชียง,
กระเชียงปู,
กระเช้า,kra-1 Caw4
กระเช้าผีมด,
กระเช้าสวรรค์,
กระเช้าสีดา,
กระเช้าไฟฟ้า,kra-1 Caw4 faj1 fA-4
กระเซอ,
กระเซอะกระเซอ,
กระเซอะกระเซิง,kra-1 sz?4 kra-1 sZN1
กระเซิง,kra-1 sZN1
กระเซ็น,kra-1 sen1
กระเซ้า,kra-1 sAw4
กระเซ้ากระซี้,kra-1 sAw4 kra-1 sI-4
กระเดก,
กระเดาะ,
กระเดาะปาก,
กระเดิด,
กระเดิด ๆ,
กระเดียด,kra-1 dJt2
กระเดี้ย,kra-1 dJ-3
กระเดือก,kra-1 dWk2
กระเดือก ๆ,
กระเดื่อง,kra-1 dWN2
กระเด็น,kra-1 den1
กระเด้ง,kra-1 deN3
กระเด้า,kra-1 daw3
กระเด้าดิน,
กระเด้าลม,
กระเตง,kra-1 tEN1
กระเตอะ,
กระเตาะ,
กระเตาะกระแตะ,
กระเตื้อง,kra-1 tWN3
