ก.,kX-1
กระดึงช้างเผือก,
กระดึงพระราม,
กระดืบ,kra-1 dVp2
กระดุ,
กระดุกกระดิก,kra-1 duk2 kra-1 dik2
กระดุบ,
กระดุบ ๆ,
กระดุบกระดิบ,
กระดุม,kra-1 dum1
กระดุ้งกระดิ้ง,
กระดูก,kra-1 dUk2
กระดูกกบ,
กระดูกขัดมัน,kra-1 dUk2 Kat2 man1
กระดูกคอ,
กระดูกค่าง,
กระดูกงู,
กระดูกซี่โครง,
กระดูกดำ,
กระดูกนำเสียง,
กระดูกพรุน,
กระดูกร้องได้,
กระดูกสฟีนอยด์,
กระดูกสันหลัง,kra-1 dUk2 san5 laN5
กระดูกหน้าผาก,
กระดูกอึ่ง,
กระดูกอ่อน,kra-1 dUk2 ?Xn2
กระดูกเขียด,
กระดูกเชิงกราน,kra-1 dUk2 CZN1 krAn1
กระดูกเทอร์บิเนต,
กระดูกเหล็ก,kra-1 dUk2 lek2
กระดูกแข็ง,kra-1 dUk2 KyN5
กระดูกแทบออกนอกเนื้อ,
กระดูกโกลน,
กระดูกโหนกแก้ม,
กระดูกไก่ดำ,
กระด้ง,kra-1 doN3
กระด้งมอญ,
กระด้วมกระเดี้ยม,
กระด้าง,kra-1 dAN3
กระด้างกระเดื่อง,kra-1 dAN3 kra-1 dWN2
กระตรกกระตรำ,
กระตรับ,
กระตราก,
กระตรุด,
กระตรุม,
กระตร้อ,
กระตัก,
กระตั้ว,kra-1 tR-3
กระตั้วแทงเสือ,
กระติก,kra-1 tik2
กระติกนำร้อน,
กระติกน้ำร้อน,kra-1 tik2 nAm4 rXn4
กระติกน้ำแข็ง,
กระติบ,kra-1 tip2
กระติ๊ด,
กระติ๊ดหนึ่ง,
กระติ๊ดเดียว,
กระติ๊บ,
กระตือรือร้น,kra-1 tV-1 rV-1 ron4
กระตุก,kra-1 tuk2
กระตุกกระติก,kra-1 tuk2 kra-1 tik2
กระตุกหนวดเสือ,
กระตุ่น,
