thai,phone
กรมคุ้มครองสิทธิและเสรีภาพ,kro1m Ku4m KrX1ŋ si2t Ti4ʔ lɛ4ʔ sE5 rI1 PA3p
กรมเจรจาการค้าระหว่างประเทศ,kro1m cE1n ra4 cA1 kA1n KA4 ra4ʔ wA2ŋ pra2ʔ TE3t
กรมเจ้าท่า,kro1m ca3w TA3
กรมชลประทาน,kro1m Co1n la4 pra2ʔ TA1n
กรมทรัพย์สินทางปัญญา,kro1m sa4p si5n TA1ŋ pa1n jA1
กรมทหารราบรักษาพระองค์,kro1m Ta4 hA5n rA3p ra4k sA5 Pra4ʔ ʔo1ŋ
กรมท่า,kro1m ma4 TA3
กรมทางหลวง,kro1m TA1ŋ lV5ŋ
กรมที่ดิน,kro1m TI3 di1n
กรมธนารักษ์,kro1m Ta4 nA1 ra4k
กรมนายทหารพระธรรมนูญ,kro1m nA1j Ta4 hA5n Pra4ʔ Ta1m ma4 nU1n
กรมนาวิกโยธิน,kro1m nA1 wi4k ka2 jO1 Ti1n
กรมบัญชีกลาง,kro1m ba1n CI1 klA1ŋ
กรมประชาสงเคราะห์,kro1m pra2ʔ CA1 so5ŋ Krɔ4ʔ
กรมประชาสัมพันธ์,kro1m pra2ʔ CA1 sa5m Pa1n
กรมประมง,kro1m pra2ʔ mo1ŋ
กรมปศุสัตว์,kro1m pa2 su2ʔ sa2t
กรมป้องกันและบรรเทาสาธารณภัย,kro1m pX3ŋ ka1n lɛ4ʔ ba1n Ta1w sA5 TA1 ra4 na4 Pa1j
กรมป่าไม้,kro1m pA2 mA4j
กรมพระธรรมนูญ,kro1m Pra4ʔ Ta1m ma4 nU1n
กรมพัฒนาธุรกิจการค้า,kro1m Pa4t Ta4 nA1 Tu4ʔ ra4 ki2t kA1n KA4
กรมพัฒนาสังคมและสวัสดิการ,kro1m Pa4t Ta4 nA1 sa5ŋ Ko1m lɛ4ʔ sa2 wa2t di2ʔ kA1n
กรมยุทธศึกษาทหารบก,kro1m ju4ʔ To4t sɯ2k sA5 Ta4 hA5n bo2k
กรมโยธาธิการ,kro1m jO1 TA1 Ti4ʔ kA1n
กรมโยธาธิการและผังเมือง,kro1m jO1 TA1 Ti4ʔ kA1n lɛ4ʔ Pa5ŋ mR1ŋ
กรมราชองค์รักษ์,kro1m rA3t Ca4 ʔo1ŋ ra4k
กรมราชทัณฑ์,kro1m rA3t Ca4 Ta1n
กรมศิลปากร,kro1m si5n pA1 kX1n
กรมศุลกากร,kro1m su5n la4 kA1 kX1n
กรมส่งเสริมการปกครองท้องถิ่น,kro1m so2ŋ sZ5m kA1n po2k KrX1ŋ TX4ŋ Ti2n
กรมส่งเสริมวัฒนธรรม,kro1m so2ŋ sZ5m wa4t Ta4 na4 Ta1m
กรมสนธิสัญญาและกฎหมาย,kro1m so5n Ti4ʔ sa5n jA1 lɛ4ʔ ko2t mA5j
กรมสรรพากร,kro1m sa5n PA1 kX1n
กรมสวัสดิการและคุ้มครองแรงงาน,kro1m sa2 wa2t di2ʔ kA1n lɛ4ʔ Ku4m KrX1ŋ rY1ŋ ŋA1n
กรมสอบสวนคดีพิเศษ,kro1m sX2p sV5n Ka4 dI1 Pi4ʔ sE2t
กรมสารนิเทศ,kro1m sA5 ra4 ni4ʔ TE3t
กรมสุขภาพจิต,kro1m su2k Ka2 PA3p ci2t
กรมเสมียนตรา,kro1m sa2 mJ5n trA1
กรมอนามัย,kro1m ʔa2 nA1 ma1j
กรมอุตุนิยม,kro1m ʔu2ʔ tu2ʔ ni4ʔ jo1m
กรมอุตุนิยมวิทยา,kro1m ʔu2ʔ tu2ʔ ni4ʔ jo1m wi4t Ta4 jA1
กรมอุทยานแห่งชาติสัตว์ป่าและพันธุ์พืช,kro1m ʔu2t Ta4 jA1n hɛ2ŋ CA3t sa2t pA2 lɛ4ʔ Pa1n PW3t
กรมธรรม์,kro1m ma4 Ta1n
กรมธรรม์ประกันภัย,kro1m ma4 Ta1n pra2ʔ ka1n Pa1j
กรมหลวง,kro1m lV5ŋ
กรมอุตุฯ,kro1m ʔu2ʔ tu2ʔ
กรรไกร,ka1n kra1j
กรรไกรตัดกิ่งไม้,ka1n kra1j ta2t ki2ŋ mA4j
กรรไกรตัดเล็บ,ka1n kra1j ta2t le4p
กรรชิง,ka1n Ci1ŋ
กรรเชียง,ka1n CJ1ŋ
กรรโชก,ka1n CO3k
กรรณ,ka1n
กรรตุ,ka2t tu2ʔ
กรรตุวาจก,ka2t tu2ʔ wA1 co2k
กรรตุการก,ka1n tu2ʔ kA1 ro4k
กรรม,ka1m
กรรมการ,ka1m ma4 kA1n
กรรมการผู้จัดการ,ka1m ma4 kA1n PU3 ca2t kA1n
กรรมเก่า,ka1m ka2w
กรรมฐาน,ka1m ma4 TA5n
กรรมตามทัน,ka1m tA1m Ta1n
กรรมติดจรวด,ka1m ti2t ca2 rV2t
กรรมนิยม,ka1m ma4 ni4ʔ jo1m
กรรมพันธุ์,ka1m ma4 Pa1n
กรรมพิธี,ka1m ma4 Pi4ʔ TI1
กรรมวาจก,ka1m ma4 wA1 co2k
กรรมวิธี,ka1m ma4 wi4ʔ TI1
กรรมวิธีเชิงเคมี,ka1m ma4 wi4ʔ TI1 CZ1ŋ KE1 mI1
กรรมวิธีทางวิทยาศาสตร์,ka1m ma4 wi4ʔ TI1 TA1ŋ wi4t Ta4 jA1 sA2t
กรรมเวร,ka1m wE1n
กรรมสิทธิ์,ka1m ma4 si2t
กรรมกร,ka1m ma4 kX1n
กรรมกรอู่ต่อเรือ,ka1m ma4 kX1n ʔU2 tX2 rR1
กรรมการก,ka1m ma4 kA1 ro4k
กรรมาชีพ,ka1m mA1 CI3p
กรรมาธิการ,ka1m mA1 Ti4ʔ kA1n
กรรรร,ka1n rX1n
กร๊วก,krV4k
กรวด,krV2t
กรวดขนาดเม็ดถั่ว,krV2t Ka2 nA2t me4t TV2
กรวดทราย,krV2t sA1j
กรวดน้ำ,krV2t nA4m
กรวดน้ำคว่ำขัน,krV2t nA4m Kwa3m Ka5n
กรวดในรองเท้า,krV2t na1j rX1ŋ TA4w
กร้วม,krV3m
กรวย,krV1j
กรวยใส่ไอศกรีม,krV1j sa2j ʔa1j sa2 krI1m
กรอ,krX1
กรอเทป,krX1 TE3p
กรอฟัน,krX1 fa1n
กรอม้วนวิดีโอ,krX1 mV4n wi4ʔ dI1 ʔO1
กรอ.,kX1 rX1 ʔX1
กรอก,krX2k
กรอกข้อความ,krX2k KX3 KwA1m
กรอกความคิด,krX2k KwA1m Ki4t
กรอกตา,krX2k tA1
กรอกยา,krX2k jA1
กรอกรายการให้ครบ,krX2k rA1j kA1n ha3j Kro4p
กรอกหู,krX2k hU5
กรอกเหล้า,krX2k la3w
กร็อกกร๋อย,krɔ2k krX5j
กรอกแกรก,krX2k krY2k
กรอง,krX1ŋ
กรองกระแส,krX1ŋ kra2ʔ sY5
กรองกายภาพ,krX1ŋ kA1j ja4ʔ PA3p
กรองชีวภาพ,krX1ŋ CI1 wa4 PA3p
กรองทอง,krX1ŋ TX1ŋ
กรองน้ำมันเครื่อง,krX1ŋ na4m ma1n KrR3ŋ
กรองมาลย์,krX1ŋ mA1n
กร๋องกร๋อย,krX5ŋ krX5j
กร่องแกร่ง,krX2ŋ krɛ2ŋ
กรอด,krX2t
กร่อน,krX2n
กร่อนเซาะ,krX2n sɔ4ʔ
กรอบ,krX2p
กรอบเช็ดหน้า,krX2p Ce4t nA3
กรอบติดหลังคารถ,krX2p ti2t la5ŋ KA1 ro4t
กรอบเป็นข้าวเกรียบ,krX2p pe1n KA3w krJ2p
กรอบรูป,krX2p rU3p
กรอบแว่น,krX2p wY3n
กรอบหน้า,krX2p nA3
กร่อย,krX2j
