thai,phone
ช่วงคลื่น,CV3ŋKlW3n
ช่วงยาวคลื่น,CV3ŋjA1wKlW3n
ช่วงอายุ,CV3ŋA1ju4
ช่วยกันเอง,CV3jka1nE1ŋ
ช่องกุญแจ,Cɔ3ŋku1ncY1
ช่องขายตั๋ว,Cɔ3ŋKA5jtV5
ช่องมอง,Cɔ3ŋmX1ŋ
ช่างกระไรเลย,Ca3ŋkra1ra1jlZ1j
ช่างคิด,Ca3ŋKi4t
ช่างคุย,Ca3ŋKu1j
ช่างจักสาน,CA3ŋca2ksA5n
ช่างดัดผม,CA3ŋda2tPo5m
ช่างต่อเรือ,CA3ŋtX2rR1
ช่างทำเครื่องเงิน,CA3ŋTa1mKrR3ŋŋə1n
ช่างนึกช่างคิด,Ca3ŋnɯ4kCa3ŋKi4t
ช่างพูด,Ca3ŋPU3t
ช่างมันเป็นไร,Ca3ŋma1npe1nra1j
ช่างย้อมผ้า,CA3ŋjX4mPA3
ช่างสังเกต,Ca3ŋsa5ŋkE2t
ช่างหัดใหม่,CA3ŋha2tma2j
ช่างหัวมันปะไร,Ca3ŋhV5ma1npa1ra1j
ช่างอากาศ,CA3ŋA1kA2t
ช่างเขาปะไร,Ca3ŋKa4wpa1ra1j
ช่างเครื่องยนต์,CA3ŋKrR3ŋjo1n
ช่างเงิน,CA3ŋŋə1n
ช่างเถอะ,Ca3ŋTə1
ช่างเถียง,Ca3ŋTJ5ŋ
ช่างเป็นไร,Ca3ŋpe1nra1j
ช่างเพชร,CA3ŋPe4t
ช่างเหลือเกิน,Ca3ŋlR4kZ1n
ช่างแก้นาฬิกา,CA3ŋkY3nA1li1kA1
ช่างแสง,CA3ŋsY5ŋ
ช่างโลหะ,CA3ŋlO1ha2ʔ
ช้อค,Cɔ4k
ช้อนซ่อม,CX4nsX3m
ช้างงา,CA4ŋŋA1
ช้างต่อ,CA4ŋtX2
ช้างต้น,CA4ŋto3n
ช้างเถื่อน,CA4ŋTR2n
ช้าเสียแล้ว,CA4sa4lY4w
ช้าไปเสียแล้ว,CA4pa1jsJ4lY4w
ช้าๆ,CA4CA4
ซ,sX1
ซบหน้า,so4pnA3
ซวด,sV3t
ซองแว่นตา,sX1ŋwɛ3ntA1
ซังข้าว,sa1ŋKA3w
ซัดเซ,sa4tsE1
ซัดแขน,sa4tKY5n
ซาลง,sA1lo1ŋ
ซินเดอเรลล่า,si1ndZ1rE1lA3
ซิบ,si4p
ซีกไม้,sI3kmA4j
ซีดเซียว,sI3tsJ1w
ซีดเผือด,sI3tPR2t
ซีอาโต,sJ1tO3
ซึ่งซึ่งหน้า,sɯ3ŋsɯ3ŋnA3
ซืน,sW1n
ซื้อปลีก,sW4plI2k
ซุ่มซ่อน,su3msX3n
ซ่น,so3n
ซ่อนงำ,sX3nŋa1m
ซ่าม,sA3m
ซ้ำชั้น,sa4mCa4n
ฌ,CX1
ญ,jX1
ฎ,dX1
ฏ,tX1
ฐ,TX5
ฐานะลำบาก,TA5na4la1mbA2k
ฑ,TX1
ฒ,TX1
ณ ต่างประเทศ,na4tA2ŋpra1TE3t
ณ บัดนี้,na4ba2tnI4
ณ สงขลา,na4so5ŋKlA5
ณ อยุธยา,na4a1ju4tTa1jA1
ด,dX1
ดงกล้วย,do1ŋklV3j
ดวงนัยน์ตา,dV1ŋna1jtA1
ดวงไฟฟ้า,dV1ŋfa1jfA4
ดอกกานพลู,dX2kkA1nPlU1
ดอกฝิ่น,dX2kfi2n
ดอกส้ม,dX2kso3m
ดอกเห็ด,dX2khe2t
ดอกไม้แรกแย้ม,dX2kmA4jrY3kjY4m
ดอกไม้ไฟ,dX2kmA4jfa1j
ดอลล่า,dX1lA3
ดักกับไว้,da2kka2pwa4j
ดังปรากฏ,da1ŋprA1ko2t
ดังไปทั้งป่า,da1ŋpa1jTa4ŋpA2
ดังๆ,da1ŋda1ŋ
ดัชท์,da4t
ดัดให้เชื่อง,da2tha3jCR3ŋ
ดันไม่เข้า,da1nma3jKa3w
ดับบลิว,da2pba1li1w
ดับวูบ,da2pwU3p
ดับศูนย์,da2psU5n
ดาบสั้น,dA2psa3n
ดายหญ้า,dA1jjA3
ดาวประกายพรึก,dA1wpra1kA1jPrɯ4k
ดาวประจำเมือง,dA1wpra1ca1mmR1ŋ
ดาวพระพฤหัส,dA1wPra4Pa4rɯ4ha2t
ดาวพระพิภพ,dA1wPra4Pi4Po4p
ดาวพระพุทธ,dA1wPra4Pu4t
ดาวมฤตยู,dA1wma1rɯ4tta1jU1
ดาวหนัง,dA1wna5ŋ
ดาวหมู่,dA1wmU2
ดาวโลก,dA1wlO3k
ดาวไถ,dA1wTa5j
ดาเข้าหา ,dA1Ka3whA5
ดำขลับ,da1mKla2p
ดำด่าง,da1mdA2ŋ
ดำปื้ด,da1mpW3t
ดำปื๊ด,da1mpW4t
ดำปื๋อ,da1mpW5
ดำมะเมื่อม,da1mma1mR3m
ดำเกิง,da1mkZ1ŋ
ดำเขียว,da1mKJ5w
ดำเนินงาน,da1mnZ1nŋA1n
ดำเย็น,da1mje1n
ดำๆ,da1mda1m
ดินจืด,di1ncW2t
ดินดาน,di1ndA1n
ดินทราย,di1nsA1j
ดินน้ำลมไฟ,di1nnA4mlo1mfa1j
ดินปนทราย,di1npo1nsA1j
ดินมี,di1nmI1
ดิบๆสุกๆ,di2pdi2psu2ksu2k
ดิ้นแด็กๆ,di3ndɛ2kdɛ2k
ดีกระไร,dI1kra1ra1j
ดีกว่าเป็นกอง,dI1kwA2pe1nkX1ŋ
ดีกัน,dI1ka1n
ดีจริง,dI1ci1ŋ
ดีจริงนะ,dI1ci1ŋna4
ดีฉิบหาย,dI1Ci4phA5j
ดีดกลับ,dI2tkla2p
ดีดนิ้ว,dI2tni4w
ดีดลูกคิด,dI2tlU3kKi4t
ดีต่อ,dI1tX2
ดีทีเดียว,dI1TI1dJ1w
ดีนักแล,dI1na4klY1
ดีพอใช้,dI1PX1Ca4j
ดีละ,dI1la4ʔ
ดีละนะ,dI1la1na4
ดีแล้ว,dI1lY4w
ดีแล้วจ้ะ,dI1lY4wca3
ดีไซน์,dI1sA1j
ดีๆ,di1dI1
ดี๊,dI4
ดึงไม่ออก,dɯ1ŋma3jX2k
ดึ้ง,dɯ3ŋ
ดึ๋ง,dɯ5ŋ
ดื่มอวยพร,dW2mV1jPX1n
ดุจว่า,du2tca1wA3
ดุมล้อ,du1mlX4
ดุลยภาพแห่งอำนาจ,du1nja1PA3phɛ2ŋa1mnA3t
ดุว่า,du2wA3
ดุษณีภาพ,du2tsa1nI1PA3p
ดุเหว่า,du1wa2w
ดุ้นไม้,du3nmA4j
ดูกีฬา,dU1kI1lA1
ดูจะกระไรอยู่,dU1ca1kra1ra1jjU2
ดูชอบกล,dU1CX3pko1n
ดูชอบกลดี,dU1CX3pko1ndI1
ดูท่า,dU1TA3
ดูนั่นแน่ะ,dU1na3nnɛ3
ดูว่า,dU1wA3
ดูหนังสือ,dU1na1ŋsW5
ดูออก,dU1X2k
ดูเกือบจะไม่ออก,dU1kR2pca1ma3jX2k
ดูเล่น,dU1le3n
ดูเห็น,dU1he5n
ดูเอาทีหรือ,dU1a1wTI1rɯ4
ดูโหรงเหรง,dU1rO5ŋrE5ŋ
ดูไม่ชอบกล,dU1ma3jCX3pko1n
ดูไม่เห็น,dU1ma3jhe5n
ด่านเข้าเมือง,dA2nKa3wmR1ŋ
ด้วยความเอาใจใส่,dV3jKwA1ma1wca1jsa2j
ด้วยจิตใจชื่นบาน,dV3jci2tca1jCW3nbA1n
ด้วยตนเอง,dV3jto1nE1ŋ
ด้วยประการฉะนี้,dV3jpra1kA1nCa1nI4
ด้วยวิธี,dV3jwi4TI1
ด้วยอาศัยที่,dV3jA1sa5jTI3
ด้วยเรื่อง,dV3jrR3ŋ
ด้วยเรื่องอะไร,dV3jrR3ŋa1ra1j
ด้านยุทธศาสตร์,dA3nju4tTa1sA2t
ด้านๆ,da3ndA3n
ด้ามปากกา,dA3mpA2kkA1
ด้ามปืน,dA3mpW1n
ด้ายกลุ่ม,dA3jklu2m
ด้ายไหม,dA3jma5j
ต,tX1
ตกจั้กใหญ่,to2kca3kja2j
ตกดิน,to2kdi1n
ตกดึกเข้า,to2kdɯ2kKa3w
ตกตะกอน,to2kta1kX1n
ตกถึงมือ,to2kTɯ5ŋmW1
ตกน้ำตกท่า,to2knA4mto2kTA3
ตกบ่าย,to2kbA2j
ตกปาก,to2kpA2k
ตกฟอง,to2kfX1ŋ
ตกฟาก,to2kfA3k
ตกมัน,to2kma1n
ตกยาก,to2kjA3k
ตกรวง,to2krV1ŋ
ตกร้อยบาท,to2krX4jbA2t
ตกลงกัน,to2klo1ŋka1n
ตกลูก,to2klU3k
ตกอยู่ในมือ,to2kjU2na1jmW1
ตกเก้าอี้,to2kka3wI3
ตกเครือ,to2kKrR1
ตกเป็นของ,to2kpe1nKX5ŋ
ตกไข่,to2kKa2j
ตงิดๆ,ta1ŋi2tta1ŋi2t
ตบฉาด,to2pCA2t
ตบฉาดหนึ่ง,to2pCA2tnɯ1ŋ
ตบปีก,to2ppI2k
ตบเอา,to2pa1w
ตบแต่งร่างกาย,to2ptɛ2ŋrA3ŋkA1j
ตรง (กัน) ข้าม,tro1ŋka1nKA3m
ตรงนั้น,tro1ŋna4n
ตรงรี่,tro1ŋrI3
ตรงเข้าไล่,tro1ŋKa3wla3j
ตรงเดียะ,tro1ŋdJ2
ตรงเป๋ง,tro1ŋpe5ŋ
ตรงๆ,tro1ŋtro1ŋ
ตรมตรอม,tro1mtrX1m
ตรวจพล,trV2tPo1n
ตรวจราชการ,trV2trA3tCa1kA1n
ตระหลบ,tra1lo2p
ตระเวนแผ่นดิน,tra1wE1nPɛ2ndi1n
ตรับฟัง,tra2pfa1ŋ
ตรัย,tra1j
ตราก,trA2k
ตรำฝน,tra1mfo5n
ตริ,tri2ʔ
ตรุษสงกรานต์,tru2tso5ŋkrA1n
ตลอดขึ้นมาจนถึง,ta1lX2tKɯ3nmA1co1nTɯ5ŋ
ตลอดถึง,ta1lX2tTɯ5ŋ
ตลอดลงมา,ta1lX2tlo1ŋmA1
ตลาดมืด,ta1lA2tmW3t
ตอกเหล้า,tX2kla3w
ตอนหลัง,tX1nla5ŋ
ตอนเที่ยง,tX1nTJ3ŋ
ตอนใต้,tX1ntA3j
ตอบปฏิเสธ,tX2ppa2ti1sE2t
ตะกัก,ta1ka2k
ตะกุยตะกาย,ta1ku1jta1kA1j
ตะข่าย,ta1KA2j
ตะคุ่มๆ,ta1Ku3mta1Ku3m
ตะพด,ta1Po4t
ตะวันตกดิน,ta1wa1nto2kdi1n
ตะเกียก,ta1kJ2k
ตะเกียงรั้ว,ta1kJ1ŋrV4
ตะเบ็ง,ta1be1ŋ
ตะเบ็งเสียงให้ดังขึ้น,ta1be1ŋsJ5ŋha3jda1ŋKɯ3n
ตะเหลนเป๋น,ta1lE5npE5n
ตะแบก,ta1bY2k
ตะแหลนแป๋น,ta1lɛ5npɛ5n
ตักน้ำ,ta2knA4m
ตักเข้าไป,ta2kKa3wpa1j
ตังเกี๋ย,ta1ŋkJ5
ตัดกัน,ta2tka1n
ตัดชีวิต,ta2tCI1wi4t
ตัดปัญหา,ta2tpa1nhA5
ตัดสัมพันธ์ทางการทูต,ta2tsa5mPa1nTA1ŋkA1nTU3t
ตัดหัว,ta2thV5
ตัดเย็บ,ta2tje4p
ตัดไม่ขาด,ta2tma3jKA2t
ตัดไม้,ta2tmA4j
ตับจาก,ta2pcA2k
ตัวกลาง,tV1klA1ŋ
ตัวจำนำ,tV1ca1mna1m
ตัวจำอวด,tV1ca1mV2t
ตัวฉันเอง,tV1Ca4nE1ŋ
ตัวชา,tV1CA1
ตัวตก,tV1to2k
ตัวประสาน,tV1pra1sA5n
ตัวปะการัง,tV1pa1kA1ra1ŋ
ตัวปากกา,tV1pA2kkA1
ตัวผึ้ง,tV1Pɯ3ŋ
ตัวมาร,tV1mA1n
ตัวศูนย์,tV1sU5n
ตัวหนัง,tV1na5ŋ
ตัวอย่างประกอบ,tV1jA2ŋpra1kX2p
ตัวเชื่อม,tV1CR3m
ตัวแตน,tV1tY1n
ตัวแสดง,tV1sa1dY1ŋ
ตัวโรค,tV1rO3k
ตัวๆ,tV1tV1
ตั้งกระบุง,ta3ŋkra1bu1ŋ
ตั้งชัน,ta3ŋCa1n
ตั้งบ้าน,ta3ŋbA3n
ตั้งภูมิลำเนา,ta3ŋPU1mmi4la1mna1w
ตั้งสติไม่อยู่,ta3ŋsa1ti2ma3jjU2
ตั้งสามชั่วโมง,ta3ŋsA5mCV3mO1ŋ
ตั้งอกตั้งใจ,ta3ŋo2kta3ŋca1j
ตั้งเข็ม,ta3ŋKe5m
ตั้มเปลี่ยน,ta3mplJ2n
ตั๋ง,ta5ŋ
ตากับยาย,tA1ka1jA1j
ตาคมเฉี่ยว,tA1Ko1mCJ2w
ตาคับขัน,tA1Ka4pKa5n
ตาตาราง,tA1ta1rA1ŋ
ตาปู,ta1pU1
ตาปูควง,ta1pU1KV1ŋ
ตามกลิ่น,tA1mkli2n
ตามควร,tA1mKV1n
ตามติด,tA1mti2t
ตามถนัด,tA1mTa1na2t
ตามทาง,tA1mTA1ŋ
ตามทางการ,tA1mTA1ŋkA1n
ตามที,tA1mTI1
ตามที่คุณรู้แล้ว,tA1mTI3Ku1nrU4lY4w
ตามบุญตามกรรม,tA1mbu1ntA1mka1m
ตามบ้าน,tA1mbA3n
ตามภาษา,tA1mPA1sA5
ตามมารยาท,tA1mmA1njA3t
ตามลม,tA1mlo1m
ตามเดียะ,tA1mdJ2
ตามแต่คุณจะให้,tA1mtY2Ku1nca1ha3j
ตามแต่โอกาสจะอำนวย,tA1mtY2O1kA2tca1a1mnV1j
ตามแหล่งที่,tA1mlɛ2ŋTI3
ตามโคม,tA1mKO1m
ตามใจคุณ,tA1mca1jKu1n
ตามใจตนเอง,tA1mca1jto1nE1ŋ
ตามไฟ,tA1mfa1j
ตายละวา,tA1jla1wA1
ตายเพราะน้ำมือลูก,tA1jPrɔ4na4mmW1lU3k
ตายเลย,tA1jlZ1j
ตาลอย,tA1lX1j
ตาส่อน,tA1sɔ2n
ตาหลิ่ว,tA1li2w
ตาหาก,ta1hA2k
ตาโปน,tA1pO1n
ตาโหล,tA1lO5
ตำข้าว,ta1mKA3w
ตำหรับ,ta1mra2p
ติก,ti2k
ติฉิน,ti2ʔCi5n
ติดจะ,ti2tca1
ติดชะงัก,ti2tCa1ŋa4k
ติดตาตรึงใจ,ti2ttA1trɯ1ŋca1j
ติดตาติดใจ,ti2ttA1ti2tca1j
ติดปืน,ti2tpW1n
ติดสุรา,ti2tsu1rA1
ติดอยู่,ti2tjU2
ติดอาวุธเรือ,ti2tA1wu4trR1
ติดเครื่องโทรศัพท์,ti2tKrR3ŋTO1ra1sa2p
ติดเนื้อต้องใจ,ti2tnR4tɔ3ŋca1j
ติดๆกัน,ti2tti2tka1n
ตีกระหนาบ,tI1kra1nA2p
ตีกระหน่ำ,tI1kra1na2m
ตีชิง,tI1Ci1ŋ
ตีทะเบียนรถ,tI1Ta1bJ1nro4t
ตีนเปล่า,tI1nplA2w
ตีศอก,tI1sX2k
ตีสกัด,tI1sa1ka2t
ตีเกล็ด,tI1kle2t
ตีเหล็ก,tI1le2k
ตีโอบหลังข้าศึก,tI1O2pla5ŋKA3sɯ2k
ตี๋ต่าง,tI4tA2ŋ
ตึ,tɯ2ʔ
ตึกอำนวยการ,tɯ2ka1mnV1jkA1n
ตึ๊ก,tɯ4k
ตื่นเช้า,tW2nCA4w
ตื๊ด,tW4t
ตุ้มน้ำหนัก,tu3mna4mna2k
ตุ้ยๆ,tu3jtu3j
ตุ๊กๆ,tu4ktu4k
ตุ๊บ,tu4p
ตุ๋มๆต้อมๆ,tu5mtu5mtɔ3mtɔ3m
ตูน,tU1n
ตู้สองใบ,tU3sX5ŋba1j
ต่อจากหน้าหนึ่ง,tX2cA2knA3nɯ2ŋ
ต่อตา,tX2tA1
ต่อปากคำ,tX2pA2kKa1m
ต่อปี,tX2pI1
ต่อมาอีกหน่อยหนึ่ง,tX2mA1I2knɔ2jnɯ1ŋ
ต่อมาไม่กี่วัน,tX2mA1ma3jkI2wa1n
ต่อมาไม่นานนัก,tX2mA1ma3jnA1nna4k
ต่อล้อต่อเถียง,tX2lX4tX2TJ5ŋ
ต่อเรือ,tX2rR1
ต่อโทรศัพท์,tX2TO1ra1sa2p
ต่างกับ,tA2ŋka1
ต่างคนก็ต่างใจ,tA2ŋKo1nkɔ3tA2ŋca1j
ต่างชาติต่างภาษา,tA2ŋCA3ttA2ŋPA1sA5
ต่างภาษา,tA2ŋPA1sA5
ต่างว่า,tA2ŋwA3
ต่างๆ,tA2ŋtA2ŋ
ต่างๆนานา,tA2ŋtA2ŋnA1nA1
ต่าย,tA2j
ต่ำสูง,ta2msU5ŋ
ต้นกานพลู,to3nkA1nPlU1
ต้นกุหลาบ,to3nku1lA2p
ต้นก้ามปู,to3nkA3mpU1
ต้นขั้ว,to3nKV3
ต้นคราม,to3nKrA1m
ต้นคิด,to3nKi4t
ต้นตำรับ,to3nta1mra2p
ต้นนุ่น,to3nnu3n
ต้นน้อยหน่า,to3nnX4jnA2
ต้นน้อยโหน่ง,to3nnX4jnO2ŋ
ต้นบัว,to3nbV1
ต้นปาล์ม,to3npA1m
ต้นผักชี,to3nPa2kCI1
ต้นฝรั่ง,to3nfa1ra2ŋ
ต้นพฤกษา,to3nPrɯ4ksA5
ต้นพุทรา,to3nPu4tsA1
ต้นมะปราง,to3nma1prA1ŋ
ต้นมะระ,to3nma1ra4
ต้นมะเขือ,to3nma1KR5
ต้นมะเขือเทศ,to3nma1KR5TE3t
ต้นมะเฟือง,to3nma1fR1ŋ
ต้นมันสำปะหลัง,to3nma1nsa5mpa1la5ŋ
ต้นมันเทศ,to3nma1nTE3t
ต้นมือ,to3nmW1
ต้นยี่โถ,to3njI3TO5
ต้นหยี,to3njI5
ต้นอ้อ,to3nX3
ต้นเค้า,to3nKa4w
ต้นเพลิง,to3nPlZ1ŋ
ต้นโพธิ,to3nPO1
ต้นไผ่,to3nPa2j
ต้นไม้ต้นไร่,to3nmA4jto3nra3j
ต้นไม้ต้นไล่,to3nmA4jto3nla3j
ต้มหมู,to3mmU5
ต้องด้วย,tɔ3ŋdV3j
ต้องตา,tɔ3ŋtA1
ต้องนับว่า,tɔ3ŋna4pwA3
ต้องประสงค์,tɔ3ŋpra1so5ŋ
ต้องลม,tɔ3ŋlo1m
ต้องล่าทัพกลับไป,tɔ3ŋlA3Ta4pkla2ppa1j
ต้องวิ่งเชียว,tɔ3ŋwi3ŋCJ1w
ต้องใจ,tɔ3ŋca1j
ต๊ก,to4k
ต๊าย,tA4j
ถ,TX5
ถกเขมร,To2kKa1mE5n
ถนนตัน,Ta1no5nta1n
ถนนปูหิน,Ta1no5npU1hi5n
ถนนโรยกรวด,Ta1no5nrO1jkrV2t
ถนี่,Ta1nI2
ถลกหนัง,Ta1lo2kna5ŋ
ถลึงตาให้หยุด,Ta1lɯ5ŋtA1ha3jju2t
ถอดกลอน,TX2tklX1n
ถอดด้าม,TX2tdA3m
ถอดเขี้ยวถอดงา,TX2tKJ3wTX2tŋA1
ถอดเป็นภาษาไทย,TX2tpe1nPA1sA5Ta1j
ถอนคันน้ำมัน,TX5nKa1nna4mma1n
ถอนฉุน,TX5nCu5n
ถอนฟ้อง,TX5nfX4ŋ
ถอนใจเฮือกใหญ่,TX5nca1jhR3kja2j
ถอนใบอนุญาต,TX5nba1ja2nu4jA3t
ถอยกำลัง,Tɔ5jka1mla1ŋ
ถอยหนี,Tɔ5jnI5
ถังซำจั๋ง,Ta5ŋsa1mca5ŋ
ถังบรรจุน้ำมัน,Ta5ŋba1ncu2na4mma1n
ถังผง,Ta5ŋPo5ŋ
ถัดจากนั้น,Ta2tcA2kna4n
ถั่วยี่สง,TV2jI3so5ŋ
ถา,TA5
ถาขึ้นจาก,TA5Kɯ3ncA2k
ถามเอาแก้วอะไร,TA5ma1wkY3wa1ra1j
ถิ่นอาศัย,Ti2nA1sa5j
ถี,TI5
ถึงการณ์,Tɯ5ŋkA1n
ถึงกำหนด,Tɯ5ŋka1mno2t
ถึงซึ่ง,Tɯ5ŋsɯ3ŋ
ถึงตา,Tɯ5ŋtA1
ถึงพร้อม,Tɯ5ŋPrX4m
ถึงมือ,Tɯ5ŋmW1
ถึงเวร,Tɯ5ŋwE1n
ถึงแค่นี้,Tɯ5ŋKY3nI4
ถึงไหน,Tɯ5ŋna5j
ถือกันว่า,TW5ka1nwA3
ถือบังเหียน,TW5ba1ŋhJ5n
ถือปูน,TW5pU1n
ถือพุทธ,TW5Pu4t
ถือศาสนา,TW5sA2tsa1nA5
ถือสวน,TW5sV5n
ถือเป็นอารมณ์,TW5pe1nA1ro1m
ถุงตาข่าย,Tu5ŋta1KA2j
ถูกขังกรงไว้,TU2kKa5ŋkro1ŋwa4j
ถูกจี้,TU2kcI3
ถูกชะตา,TU2kCa1tA1
ถูกทำลาย,TU2kTa1mlA1j
ถูกทำโทษ,TU2kTa1mTO3t
ถูกทีเดียว,TU2kTI1dJ1w
ถูกประหารชีวิต,TU2kpra1hA5nCI1wi4t
ถูกปราบ,TU2kprA2p
ถูกภาคทัณฑ์,TU2kPA3kTa1n
ถูกรถชน,TU2kro4tCo1n
ถูกรถยนต์ชน,TU2kro4tjo1nCo1n
ถูกลอตเตอรี่ที่หนึ่ง,TU2klX4ttə1rI3TI3nɯ2ŋ
ถูกละ,TU2kla1
ถูกส่วน,TU2ksV2n
ถูกหลอกโดย,TU2klX2kdO1j
ถูกหักคะแนน,TU2kha2kKa1nY1n
ถูกเกณฑ์ทหาร,TU2kkE1nTa1hA5n
ถูกเขี่ย,TU2kKJ2
ถูกเผาไฟไป,TU2kPa5wfa1jpa1j
ถูกเส้นกัน,TU2kse3nka1n
ถูกแล้ว,TU2klY4w
ถูกโทษ,TU2kTO3t
ถูกโรค,TU2krO3k
ถ่มน้ำลาย,To2mna4mlA1j
ถ่อง,Tɔ2ŋ
ถ่างตา,TA2ŋtA1
ถ่านไม้,TA2nmA4j
ถ่ายทอดเสียง,TA2jTX3tsJ5ŋ
ถ่ายวิชา,TA2jwi4CA1
ถ่ายเลือด,TA2jlR3t
ถ่ายแบบ,TA2jbY2p
ถ้วยน้ำชา,TV3jna4mCA1
ถ้วยสองใบ,TV3jsX5ŋba1j
ถ้อยทีถ้อยอาศัยกัน,Tɔ3jTI1Tɔ3jA1sa5jka1n
ถ้ากระนั้น,TA3kra1na4n
ถ้าจะ,TA3ca1
ถ้าจะว่าไป,TA3ca1wA3pa1j
ถ้าจะไม่มา,TA3ca1ma3jmA1
ถ้าฉวย,TA3CV5j
ถ้าแม้,TA3mY4
ท,TX1
ทดน้ำเข้านา,To4tnA4mKa3wnA1
ทนหวานอมขมกลืน,To1nwA5no1mKo5mklW1n
ทบทุน,To4pTu1n
ทรง-,so1ŋ
ทรงกำเนิด,so1ŋka1mnZ2t
ทรงครรภ์,so1ŋKa1n
ทรงตัวไม่อยู่,so1ŋtV1ma3jjU2
ทรงพระกรุณาโปรดเกล้า,so1ŋPra4ka1ru1nA1prO2tklA3w
ทรงพระดำเนิน,so1ŋPra4da1mnZ1n
ทรงพระราชดำรัส,so1ŋPra4rA3tCa1da1mra2t
ทรงพระอักษร,so1ŋPra4a2ksX5n
ทรงมีพระโทรเลข,so1ŋmI1Pra4TO1ra1lE3k
ทรงศักดิ์,so1ŋsa2k
ทรงไว้,so1ŋwa4j
ทรงไว้ซึ่ง,so1ŋwa4jsɯ3ŋ
ทรมานด้วย,TX1ra1mA1ndV3j
ทรัพย์ซีด,sa4psI3t
ทรัพย์เบ้,sa4pbE3
ทราบว่า,sA3pwA3
ทรายเต็มมือเชียว,sA1jte1mmW1CJ1w
ทรุดตัวลงนั่ง,su4ttV1lo1ŋna3ŋ
ทรุดลง,su4tlo1ŋ
ทวงเอกราช,TV1ŋE2kka1rA3t
ทวนลม,TV1nlo1m
ทวิ-,Ta1wi4
ทวียิ่งขึ้น,Ta1wI1ji3ŋKɯ3n
ทหารบาดเจ็บ,Ta1hA5nbA2tce2p
ทหารภาคพื้นดิน,Ta1hA5nPA3kPW4ndi1n
ทหารร่ม,Ta1hA5nro3m
ทหารอาสา,Ta1hA5nA1sA5
ทหารเลว,Ta1hA5nlE1w
ทองแท่ง,TX1ŋTɛ3ŋ
ทอดกล้า,TX3tklA3
ทอดขา,TX3tKA5
ทอดเงา,TX3tŋa1w
ทอดเต๋า,TX3tta5w
ทอดแห,TX3thY5
ทอนสตางค์,TX1nsa1ta1ŋ
ทอยกอง,TX1jkX1ŋ
ทะ,Ta4ʔ
ทะนานหลวง,Ta1nA1nlV5ŋ
ทะนุ,Ta1nu4
ทะยอย,Ta1jX1j
ทะยานใจ,Ta1jA1nca1j
ทะลุกลางปล้อง,Ta1lu4klA1ŋplɔ3ŋ
ทะวาย,Ta1wA1j
ทะเบียนสำมะโนครัว,Ta1bJ1nsa5mma1nO1KrV1
ทะเยอ,Ta1jZ1
ทะเลหลวง,Ta1lE1lV5ŋ
ทะแม่งๆ,Ta1mɛ3ŋTa1mɛ3ŋ
ทะโมน,Ta1TO1n
ทักษิณาวัฏ,Ta4ksi1nA1wa4t
ทับทับทับ,Ta4p
ทั่วกัน,TV3ka1n
ทั่วทุกหัวระแหง,TV3Tu4khV5ra1hY5ŋ
ทั่วๆ,TV3TV3
ทั้งจำทั้งปรับ,Ta4ŋca1mTa4ŋpra2p
ทั้งตัว,Ta4ŋtV1
ทั้งสองฝ่าย,Ta4ŋsX5ŋfA2j
ทั้งสาม,Ta4ŋsA5m
ทั้งสี่,Ta4ŋsI2
ทั้งหญิงและชาย,Ta4ŋji5ŋlɛ1CA1j
ทั้งหมดด้วยกัน,Ta4ŋmo2tdV3jka1n
ทั้งอาทิตย์,Ta4ŋA1Ti4t
ทั้งเนื้อทั้งตัว,Ta4ŋnR4Ta4ŋtV1
ทั้งแม่ทั้งลูก,Ta4ŋmY3Ta4ŋlU3k
ทั้งๆ,Ta4ŋTa4ŋ
ทางขวามือ,TA1ŋKwA5mW1
ทางจราจร,TA1ŋca1rA1cX1n
ทางจิต,TA1ŋci2t
ทางติดต่อ,TA1ŋti2ttX2
ทางทิศตะวันตก,TA1ŋTi4tta1wa1nto2k
ทางทิศตะวันออก,TA1ŋTi4tta1wa1nX2k
ทางทิศเหนือ,TA1ŋTi4tnR5
ทางที่,TA1ŋTI3
ทางรถยนต์,TA1ŋro4tjo1n
ทางร่วม,TA1ŋrV3m
ทางวิทยาศาสตร์,TA1ŋwi4tTa1jA1sA2t
ทางสัญจร,TA1ŋsa5ncX1n
ทางสายสำคัญ,TA1ŋsA5jsa5mKa1n
ทางเรือบิน,TA1ŋrR1bi1n
ทางเหนือ,TA1ŋnR5
ทางแก้,TA1ŋkY3
ทานากะ,TA1na1ka2ʔ
ทานโทษ,TA1nTO3t
ทาปาก,TA1pA2k
ทาเนย,TA1nZ1j
ทำกบฏ,Ta1mka1bo2t
ทำการ,Ta1mkA1n
ทำการค้นคว้า,Ta1mkA1nKo4nKwA4
ทำการรบ,Ta1mkA1nro4p
ทำกิริยา,Ta1mki2ri1jA1
ทำครัวอยู่,Ta1mKrV1jU2
ทำความ,Ta1mKwA1m
ทำความผิด,Ta1mKwA1mPi2t
ทำความเคารพ,Ta1mKwA1mKa1wro4p
ทำงานหนักๆ,Ta1mŋA1nna2kna2k
ทำงานเสร็จ,Ta1mŋA1nse2t
ทำตาชม้าย,Ta1mtA1Ca1mA4j
ทำตาปริบๆ,Ta1mtA1pri2ppri2p
ทำตาหยี,Ta1mtA1jI5
